id,parentId,type,title,description,showHexagon,vip
drawioElementThing,drawioPicElements,,材料设计,,,
drawioElementValueFlow,drawioPicElements,,价值流程,,,
tableComponents,components,,可视化表格组件,,,
htmlTable,tableComponents,,富文本方式编辑表格,,,
tablenesttable,tableComponents,,表格嵌套表格,,,
mathjaxintable,tableComponents,,表格内公式,,,
customWidthTable,tableComponents,,自主控制表格单元格宽度,,,
listinTable,tableComponents,,表格内列表,,,
quoteinTable,tableComponents,,表格内引用,,,
blockinTable,tableComponents,,表格内代码块,,,
propertiescellintable,tableComponents,,单元格属性,,,
propertiesrowintable,tableComponents,,行属性,,,
mergeattablecomponents,tableComponents,,单元格合并,,,
quickcreateTable,tableComponents,,快速创建n维度空白表格,,,
excelinporttable,tableComponents,,excel快速导入表格,,,
historytable,tableComponents,,独立的表格历史记录,,,
mulEditorType,editor,,多种内置编辑器,,1,
aceEditor,mulEditorType,,ace内置编辑器,,,
codemirrorEditor,mulEditorType,,codemirror内置编辑器,,,
floatCodemirrorEditor,codemirrorEditor,,浮动编辑器,,,1
tagFloatCodemirrorEditor,codemirrorEditor,,多标签浮动编辑器,,,1
lineCodemirrorEditor,codemirrorEditor,,行内编辑器,,,1
lockedCodemirrorEditor,codemirrorEditor,,锁行编辑器,,,1
leftVertialEditor,mulEditorType,,左竖排编辑器,,,
rightVertialEditor,mulEditorType,,右竖排编辑器,,,
customEditor,mulEditorType,,自定义外部编辑器,,,
vim,shortcutEditor,,vim按键模式,,,
emacs,shortcutEditor,,emacs按键模式,,,
normal,shortcutEditor,,默认按键模式,,,
customShortcut,shortcutEditor,,自定义按键绑定,,,
globalShortcut,shortcutEditor,,客户端全局按键绑定,,,
shortcutEditor,editor,,多种按键模式,,,
wordcheck,editor,,英文拼写检查,,,
minimap,editor,,minimap 小地图,,,
foldParagh,editor,,章节折叠,,,
typeWriter,editor,,打字机滚动效果,,,
zenWriter,editor,,全屏写作模式,让你心无旁骛的进入写作状态,1,
lineFocus,editor,,行专注写作模式,,,
customEditor,editor,,编辑器字体自定义,,,
themesEditor,editor,,多种编辑器主题,多彩的主题，多彩的生活,1,
colorfulThemeEditor,themesEditor,,多种颜色配色主题,,,
lightThemeEditor,themesEditor,,亮系主题,,,
nightThemeEditor,themesEditor,,暗系主题,,,
picThemeEditor,themesEditor,,背景图片主题,,,
customPicThemeEditor,themesEditor,,自定义背景图片主题 ,,,1
radomPicThemeEditor,themesEditor,,随机背景图片主题,,,
themesEditorManager,themesEditor,,主题管理,,,1
chinaThemeEditor,themesEditor,,多款中国风主题,,,
directPasteImage,operatorEditor,,剪切板图片粘贴,,,
directInputTime,operatorEditor,,快速输入当前时间,,,
hintEditor,editor,,自动提示,,,
mathjaxHintEditor,hintEditor,,数据公式自动提示,,,
languageHintEditor,hintEditor,,代码块语言提示,,,
tagHintEditor,hintEditor,,标签输入自动提示,,,
innerLinkHintEditor,hintEditor,,内部链接输入自动提示,,,
htmlToMarkdown,editor,,html 片段转换成 markdown,,,
operatorEditor,editor,,效率,,,
imageMigarte,operatorEditor,,图床迁移,,,
directDragFile,operatorEditor,,图片，附件直接拖拽引入,,,
instancePreviewImage,editor,,编辑器内即时预览图片,,,
instancePreviewTodo,editor,,编辑器内即时预览待办,,,
freeLayoutEditor,editor,,编辑器位置任意调整,,,
tbLayoutEditor,freeLayoutEditor,,上编辑器下预览,,,
btLayoutEditor,freeLayoutEditor,,下编辑器上预览,,,
lrLayoutEditor,freeLayoutEditor,,左编辑器右预览,,,
rlLayoutEditor,freeLayoutEditor,,右编辑器左预览,,,
syncScrollEditor,editor,,同步编辑区滚动,,,
editorOutline,editor,,编辑器大纲,大纲就是一篇文章的骨架，好的大纲才能让文章骨骼清奇,1,
foldEditorOutline,editorOutline,,可折叠,,,
syncScrollEditorOutline,editorOutline,,双向自动定位,,,
dragDropEditorOutline,editorOutline,,可拖拽,,,
floatEditorOutline,editorOutline,,浮动大纲,,,
mulPreviewType,preview,,多种预览格式,,,
htmlPreview,mulPreviewType,,html 预览,,,
pptPreview,mulPreviewType,,ppt 预览,幻灯片,1,
pptMulPreview,mulPreviewType,,ppt 多屏演示,记得把好,1,
pdfPreview,mulPreviewType,,pdf 预览,,,
mulPreviewLayout,preview,,多种预览布局,,1,
tbPreviewLayout,mulPreviewLayout,,上预览下编辑,,,
btPreviewLayout,mulPreviewLayout,,下预览上编辑,,,
lrPreviewLayout,mulPreviewLayout,,左预览右编辑,,,
rlPreviewLayout,mulPreviewLayout,,右预览左编辑,,,
floatPreviewLayout,mulPreviewLayout,,浮动预览,,,
windowPreviewLayout,mulPreviewLayout,,窗口预览,,,
waterMarkFloatPreviewLayout,floatPreviewLayout,,浮动水印预览,,1,
rotateFloatPreviewLayout,floatPreviewLayout,,浮动旋转预览,,,
zenPreview,preview,,全屏预览模式,,1,
syncScrollPreivew,preview,,同步预览区滚动,,,
instancePreview,preview,,实时预览,,,
previewOutline,preview,,预览大纲,,,
foldPreviewOutline,previewOutline,,可折叠,,,
syncScrollPreviewOutline,previewOutline,,双向自动定位,,1,
topdownScrollPreviewOutline,previewOutline,,页首页尾定位,,,
floatPreviewOutline,previewOutline,,浮动大纲,,,
themesPreview,preview,,个性化预览,,,
customCssPreview,themesPreview,,自定义预览样式,,,
defaultThemesPreview,themesPreview,,多款内置预览主题,,,
stickerThemePreview,defaultThemesPreview,,story_sticker,,,
chinaThemePreview,defaultThemesPreview,,story_china,,,
dazzleThemePreview,defaultThemesPreview,,story_dazzle,,,
posterThemePreview,defaultThemesPreview,,story_poster,,,
colorfulThemePreview,defaultThemesPreview,,story_colorful,,,
papperThemePreview,defaultThemesPreview,,story_papper,,,
letterThemePreview,defaultThemesPreview,,story_letter,,,
headingThemePreview,defaultThemesPreview,,story_heading,,,
